iter	Passed	Remaining
860	5083	820
861	5092	815
862	5095	808
863	5099	802
864	5105	796
865	5109	790
866	5113	784
867	5117	778
868	5121	772
869	5124	765
870	5127	759
871	5130	753
872	5134	746
873	5139	740
874	5142	734
875	5145	728
876	5148	722
877	5153	716
878	5157	709
879	5160	703
880	5163	697
881	5169	691
882	5173	685
883	5176	679
884	5179	673
885	5182	666
886	5186	660
887	5190	654
888	5193	648
889	5196	642
890	5200	636
891	5205	630
892	5208	624
893	5212	618
894	5216	611
895	5220	605
896	5224	599
897	5228	593
898	5231	587
899	5236	581
900	5239	575
901	5242	569
902	5246	563
903	5249	557
904	5253	551
905	5257	545
906	5260	539
907	5263	533
908	5267	527
909	5272	521
910	5275	515
911	5278	509
912	5283	503
913	5286	497
914	5290	491
915	5292	485
916	5296	479
917	5301	473
918	5304	467
919	5307	461
920	5310	455
921	5317	449
922	5320	443
923	5323	437
924	5326	431
925	5330	425
926	5334	420
927	5338	414
928	5341	408
929	5344	402
930	5348	396
931	5352	390
932	5355	384
933	5358	378
934	5361	372
935	5366	366
936	5369	361
937	5373	355
938	5376	349
939	5380	343
940	5384	337
941	5387	331
942	5390	325
943	5394	320
944	5399	314
945	5402	308
946	5405	302
947	5408	296
948	5412	290
949	5417	285
950	5420	279
951	5423	273
952	5426	267
953	5430	261
954	5434	256
955	5437	250
956	5440	244
957	5444	238
958	5449	232
959	5452	227
960	5455	221
961	5458	215
962	5464	209
963	5468	204
964	5471	198
965	5474	192
966	5481	187
967	5484	181
968	5487	175
969	5490	169
970	5495	164
971	5499	158
972	5502	152
973	5505	146
974	5508	141
975	5513	135
976	5516	129
977	5519	124
978	5522	118
979	5526	112
980	5530	107
981	5533	101
982	5536	95
983	5539	90
984	5543	84
985	5548	78
986	5551	73
987	5554	67
988	5557	61
989	5563	56
990	5566	50
991	5569	44
992	5572	39
993	5577	33
994	5581	28
995	5584	22
996	5587	16
997	5590	11
998	5595	5
999	5599	0
